index,host,source,sourcetype,"_raw","_time"
os,"kc-app-02",vmstat,vmstat,"memTotalMB   memFreeMB   memUsedMB  memFreePct  memUsedPct   pgPageOut  swapUsedPct   pgSwapOut   cSwitches  interrupts       forks   processes     threads  loadAvg1mi
      8192        2064        6128        25.2        74.8    10788361         39.1           ?           ?           ?           ?         143         814        1.77
",1358985582
os,"kc-app-02",vmstat,vmstat,"memTotalMB   memFreeMB   memUsedMB  memFreePct  memUsedPct   pgPageOut  swapUsedPct   pgSwapOut   cSwitches  interrupts       forks   processes     threads  loadAvg1mi
      8192        1880        6312        22.9        77.1    10793911         39.1           ?           ?           ?           ?         161         851        1.78
",1358985643
os,"kc-app-02",vmstat,vmstat,"memTotalMB   memFreeMB   memUsedMB  memFreePct  memUsedPct   pgPageOut  swapUsedPct   pgSwapOut   cSwitches  interrupts       forks   processes     threads  loadAvg1mi
      8192        2012        6180        24.6        75.4    10796303         39.1           ?           ?           ?           ?         143         801        1.69
",1358985702
os,"kc-app-02",vmstat,vmstat,"memTotalMB   memFreeMB   memUsedMB  memFreePct  memUsedPct   pgPageOut  swapUsedPct   pgSwapOut   cSwitches  interrupts       forks   processes     threads  loadAvg1mi
      8192        2019        6173        24.6        75.4    10796350         39.1           ?           ?           ?           ?         143         793        1.68
",1358985762
os,"kc-app-02",vmstat,vmstat,"memTotalMB   memFreeMB   memUsedMB  memFreePct  memUsedPct   pgPageOut  swapUsedPct   pgSwapOut   cSwitches  interrupts       forks   processes     threads  loadAvg1mi
      8192        2172        6020        26.5        73.5    10799955         39.1           ?           ?           ?           ?         142         793        1.81
",1358985822
os,"kc-app-02",vmstat,vmstat,"memTotalMB   memFreeMB   memUsedMB  memFreePct  memUsedPct   pgPageOut  swapUsedPct   pgSwapOut   cSwitches  interrupts       forks   processes     threads  loadAvg1mi
      8192        2164        6028        26.4        73.6    10800703         39.1           ?           ?           ?           ?         142         776        1.70
",1358985882
os,"kc-app-02",vmstat,vmstat,"memTotalMB   memFreeMB   memUsedMB  memFreePct  memUsedPct   pgPageOut  swapUsedPct   pgSwapOut   cSwitches  interrupts       forks   processes     threads  loadAvg1mi
      8192        2180        6012        26.6        73.4    10800723         39.1           ?           ?           ?           ?         142         777        1.52
",1358985942
os,"kc-app-02",vmstat,vmstat,"memTotalMB   memFreeMB   memUsedMB  memFreePct  memUsedPct   pgPageOut  swapUsedPct   pgSwapOut   cSwitches  interrupts       forks   processes     threads  loadAvg1mi
      8192        2173        6019        26.5        73.5    10803263         39.1           ?           ?           ?           ?         142         780        1.24
",1358986002
os,"kc-app-02",vmstat,vmstat,"memTotalMB   memFreeMB   memUsedMB  memFreePct  memUsedPct   pgPageOut  swapUsedPct   pgSwapOut   cSwitches  interrupts       forks   processes     threads  loadAvg1mi
      8192        2166        6026        26.4        73.6    10803893         39.1           ?           ?           ?           ?         143         776        1.20
",1358986062
os,"kc-app-02",vmstat,vmstat,"memTotalMB   memFreeMB   memUsedMB  memFreePct  memUsedPct   pgPageOut  swapUsedPct   pgSwapOut   cSwitches  interrupts       forks   processes     threads  loadAvg1mi
      8192        2168        6024        26.5        73.5    10804570         39.1           ?           ?           ?           ?         143         771        1.07
",1358986122
os,"kc-app-02",vmstat,vmstat,"memTotalMB   memFreeMB   memUsedMB  memFreePct  memUsedPct   pgPageOut  swapUsedPct   pgSwapOut   cSwitches  interrupts       forks   processes     threads  loadAvg1mi
      8192        2154        6038        26.3        73.7    10806927         39.1           ?           ?           ?           ?         148         792        1.53
",1358986182
os,"kc-app-02",vmstat,vmstat,"memTotalMB   memFreeMB   memUsedMB  memFreePct  memUsedPct   pgPageOut  swapUsedPct   pgSwapOut   cSwitches  interrupts       forks   processes     threads  loadAvg1mi
      8192        2041        6151        24.9        75.1    10809423         39.1           ?           ?           ?           ?         147         787        2.55
",1358986242
os,"kc-app-02",vmstat,vmstat,"memTotalMB   memFreeMB   memUsedMB  memFreePct  memUsedPct   pgPageOut  swapUsedPct   pgSwapOut   cSwitches  interrupts       forks   processes     threads  loadAvg1mi
      8192        2049        6143        25.0        75.0    10811226         39.1           ?           ?           ?           ?         147         789        2.61
",1358986302
os,"kc-app-02",vmstat,vmstat,"memTotalMB   memFreeMB   memUsedMB  memFreePct  memUsedPct   pgPageOut  swapUsedPct   pgSwapOut   cSwitches  interrupts       forks   processes     threads  loadAvg1mi
      8192        2199        5993        26.8        73.2    10815982         39.1           ?           ?           ?           ?         140         762        2.25
",1358986362
os,"kc-app-02",vmstat,vmstat,"memTotalMB   memFreeMB   memUsedMB  memFreePct  memUsedPct   pgPageOut  swapUsedPct   pgSwapOut   cSwitches  interrupts       forks   processes     threads  loadAvg1mi
      8192        2185        6007        26.7        73.3    10816397         39.1           ?           ?           ?           ?         140         781        1.36
",1358986422
