"bea_code","bea_cause","bea_action"
2160002,"The scope name supplied to a runtime mbean operation is not registered","Supply a registered scope name to the runtime mbean operation"
2160001,"Internal Error.","Contact Oracle Customer Support. Please capture errors and send the server log files to support."
2160000,"The WeblogicSpringApplicationListener bean was added to (or registered as a listener on) an ApplicationContext that is not a web application context.","Use WeblogicSpringApplicationListener with a WebApplicationContext only."
2156301,"Failed to shutdown application appId due to ex","Take corrective action based on the exception details."
2156300,"Multiple CoherenceClusterSystemResourceMBean targeted","When Coherence jar is in system classpath, only one CoherenceClusterSystemResourceMBean should be targeted to the Server."
2156204,"The required root element was missing in the descriptor file.","Add the root element to the descriptor file."
2156203,"The required version attribute is missing.","Add the version attribute with the appropriate JEE version value."
2156202,"The plan contained variable overrides","No action: this is an informational message."
2156201,"Check stacktrace.","Check stacktrace."
2156200,"The descriptor is not valid.","Correct the descriptor."
2156004,"The provided JNDI name value wasnt a valid name. JNDI names must be non-null/non-empty and meet the rules of the J2EE Platforms JNDI implementation.","See the lexical rules for a JNDI name, and make sure to follow these rules when assigning a JNDI name"
2156003,"The provided logical store name value wasnt a valid name. Logical store names must be valid Java identifiers.","See the lexical rules for a Java identifier, and make sure to follow these rules when assigning a logical store name"
2156002,"The provided duration value wasnt a valid duration lexical representation.","See the lexical rules for a javax.datatype.Duration, and make sure the duration value you provide is valid according to these rules."
2156001,"The ""config-root"" may not be set properly","Verify that the ""config-root"" is correct"
2156000,"The ""config-root"" may not be set properly or the directory it points to may not exist","Verify that the ""config-root"" is correct and that the directory exists"
2154003,"One or more classes could not be redefined.","Redeploy the application for updates to classes to take effect."
2154002,"This message is for informational purposes only.","No action is required."
2154001,"This message is for informational purposes only.","No action is required."
2154000,"This message is for informational purposes only.","No action is required."
2152103,"JMS related exception occurs.","Check messages published to JMS topic, and enable JMS log to analysis."
2152102,"JMS related exception occurs.","Check configuration for JMS connection factory and topic."
2152101,"Security configuration.","Please check security configurations in weblogic-pubsub.xml."
2152082,"JMS related exception occurs.","Check configuration for JMS connection factory and topic."
2152081,"JMS related exception occurs.","N/A"
2152061,"JMS related exception occurs.","Please make sure JMS configurations are alright and make sure JMS server has been started."
2152044,"No information available.","No information available."
2152043,"No information available.","No information available."
2152042,"No information available.","No information available."
2152041,"No information available.","No information available."
2152022,"Incorrect JMSHandler configurations in weblogic-pubsub.xml.","Please check JMSHandler configurations in weblogic-pubsub.xml."
2152021,"No information available.","No information available."
2152003,"No information available.","No information available."
2152002,"The class loader cannot find className in classpath. Or className has no public no-argument constructor.","Please make sure the right JmsProviderFactory class name used."
2152001,"The class loader cannot find default JmsProviderFactory class in classpath. Or the default JmsProviderFactory has no public non-argument constructor.","N/A"
2150046,"Bayeux message cannot be recognized by JSON parser","Turn on bayeux message debug flag to check bayeux message and exception for details"
2150045,"Incoming bayeux message doesn't contain 'channel' field","Turn on bayeux message debug flag to check bayeux message sent by client"
2150044,"Either negative or zero value is set for connection-timeout-secs","Check PubSub servers configuration"
2150043,"PubSub Server security has been disabled by an undocumented system property","If this property has not been set delibrately, verify all your system properties which begin with com.bea.httppubsub.security"
2150042,"No security-role-assignment for role - msg","Create a security-role-assignment in weblogic.xml for role - msg"
2150041,"Invalid channel field found.","Check bayeux client."
2150040,"Debug message.","No action. Just a debug message."
2150039,"Initialization of channel authorization manager failed. See exception stacktrace for details.","See exception stacktrace for details."
2150038,"This channel authorization manager will be used for authorizing channel actions.","No action."
2150037,"Either negative value or zero is set for max-persistent-message-duration-secs.","Check PubSub servers configuration"
2150036,"Either negative value or zero is set for persistent-client-timeout-secs","Check PubSub servers configuration"
2150035,"negative value is set for multi-frame-interval-millisecs","Check PubSub servers configuration"
2150034,"negative value is set for interval-millisecs","Check PubSub servers configuration"
2150033,"Either negative or zero value is set for client-timeout-secs","Check PubSub servers configuration"
2150032,"No information available.","Check persistent stores configuration."
2150031,"Property file doesnt exist in classpath","Check classpath"
2150030,"For long-polling request messages, messages are sent to the server as the body of a POST, encoded either as ""application/x-www-form-urlencoded"" or as ""text/json"". If sent as form encoded, the Bayeux messages are sent as the ""message"" parameter. For callback-polling request messages, messages are sent to the server either using POST requests as per long-polling transport or as the ""message"" URL parameter of a GET request.","Check incoming http request, and Bayeux protocol specification."
2150029,"Exception occurs when ControllerServlet is initialized.","Check exceptions stack trace for details."
2150028,"Exception occurs while unregistering WebPubSubRuntimeMBean","Check the stack trace for more detailed information"
2150027,"Exception occurs while registering WebPubSubRuntimeMBean","Check the stack trace for more detailed information"
2150026,"Exception occurs while initializing MBeanManagerFactory","Check the stack trace for more detailed information"
2150025,"System property property is not set","Make sure runtime MBeans is not necessary, otherwise please set system property property to a proper implementation of MBeanManagerFactory"
2150024,"Incoming message specifies the channel other than /meta/handshake, /meta/connect, /meta/reconnect, /meta/disconnect, /meta/subscribe, /meta/unsubscribe","Check Bayeux client and incoming Bayeux message"
2150023,"Message cannot be recognized by JSON parser","Check message and exception for details"
2150022,"Incoming bayeux message doesnt contain channel field","Check bayeux client"
2150021,"Exception occurs when initializing service channel","Check PubSub server configuration"
2150020,"Multiple servlet and servlet-mapping definition for com.bea.httppubsub.servlet.ControllerServlet in web.xml","Check web.xml"
2150019,"No information available.","No action: this is an informational message"
2150018,"No information available.","No information available."
2150017,"No information available.","No information available."
2150016,"Either because client is not configured to allow to publish on the channel, or because client is anonymous but the channel is configured to allow only specific client to publish.","Check PubSub server security constraint configuration"
2150015,"either because client is not configured to allow to access the channel, or because client is anonymous but the channel is configured to allow only specific client to access","Check PubSub server security constraint configuration"
2150014,"Client is logined, and PubSub servers configuration is allowed this client to perform action on channel","No action: this is an informational message"
2150013,"Though client is logined, but PubSub servers configuration doesnt allow this client to perform action on channel","No action: this is an informational message"
2150012,"Channel requests login to perform action","No action: this is an informational message"
2150011,"PubSub servers configuration contains such constraint to disallow any client perform action on this channel","action on channel channelPattern is not allowed for any client"
2150010,"Either security constraint is undefined or defined to allow for any client on one channel","action on channel channelPattern is allowed for any client"
2150009,"class filterClass associated with message filter filterName is incorrect","Check message-filter-name and message-filter-class in PubSub server configuration"
2150008,"Message filter is not specified in PubSub server, but channel setting requests it","Either specify message-filter setting or remove message-filter reference from channel setting"
2150007,"Mismatch between message filter name referenced in channel setting and message-filter setting","Check PubSub server configuration"
2150006,"Invalid transport type is configured in PubSub server configuration","Check PubSub server configuration"
2150005,"persistent-client-timeout-secs must be greater than timeout-secs","Check persistent-client-timeout in PubSub server configuration"
2150004,"Either client doesnt follow bayeux protocol to send handshake and connect before publish, or client is not configured to allow direct publish.","Check if client follow bayeux protocol, and check if client is not configured to allow direct publish in PubSub server configuration."
2150003,"User doesnt have sufficient priviledge to delete channel","Check security settings from PubSub server configuration"
2150002,"User doesnt have sufficient priviledge to create channel","Check security settings from PubSub server configuration"
2150001,"There are errors in descriptor file weblogic-pubsub.xml","Correct the error in weblogic-pubsub.xml according to schema."
2012399,"Normal operation.","No action required."
2012307,"Most likely the process is shutting down, so it is safe to ignore this.","If the process is known to be active, the user may want to contact Oracle support to resolve why the MBean cannot be processed. Setting the module debug flag will cause stack traces to be printed."
2012306,"Most likely the process is shutting down, so it is safe to ignore this.","If the process is known to be active, the user should contact Oracle support to resolve why the MBean cannot be processed. Setting the module debug flag will cause stack traces to be printed."
2012305,"Internal error.","Contact Oracle support."
2012304,"Internal error.","Contact Oracle support."
2012303,"Internal error.","Contact Oracle support."
2012302,"Normal operation.","No action required."
2012301,"Normal operation.","No action required."
2012300,"Normal operation.","No Action Required."
2011399,"Normal operation.","No action required."
2011300,"Normal operation.","No Action Required."
2011199,"Normal operation.","No action required."
2011105,"Normal operation.","No action required."
2011104,"Normal operation.","No action required."
