error, Description
000000, Non-specific Event Code
000100, Info: Using default multicast address: address
000101, Info: Cannot resolve ClusterAddress: address
000102, Notice: Joining cluster name on address:port
000103, Info: Disconnecting from cluster clusterName
000104, Error: Cluster members are running incompatible versions. \n\tLocal version: localVersion. \n\tRemote version (remoteServer): remoteVersion
000105, Info: The server is leaving the cluster, because it is an incompatible version.
000106, Error: Failed to move offer to pending list due to e.
000107, Error: Failed to install offer in place of those currently installed due to e.
000108, Error: Attempt to retract offer offer, which is neither installed nor pending.
000109, Error: An error occurred while sending multicast message: e
000110, Error: Multicast socket receive error: e
000111, Info: Adding server with ID id to cluster: clusterName view.
000112, Info: Removing server from cluster view due to timeout.
000113, Info: Removing server from cluster view due to PeerGone.
000114, Error: Failed to find cluster license: message
000115, Info: Lost numMessages multicast message(s).
000116, Error: Failed to join cluster name at address address due to: e.
000117, Error: Received a stale replication request for object id.
000118, Info: Lost numLost replication updates of object id.
000119, Emergency: Missing multicast address for cluster: clusterName. Please set the MulticastAddress="a.b.c.d" property for the cluster. Use an address in the range of 224.0.0.0 - 239.255.255.255. (Avoid the reserved range 224.0.0.0 - 224.0.1.255.)
000120, Error: Received error while creating Cluster RuntimeMBean.
000121, Error: Two domains in the same LAN should not use the same multicast address. Domains in conflict are domainOne and domainTwo.
000122, Error: Clusters clusterOne and clusterTwo cannot use the same multicast address.
000123, Error: Conflict start: You tried to bind an object under the name bindName in the JNDI tree. The object bindObject is non-clusterable, and you have tried to bind more than once from two or more servers. Such objects can only be deployed from one server.
000124, Error: Conflict start: The object bindObject you tried to bind under the name bindName in the JNDI tree is clusterable but is incompatible. Make sure all the servers in the cluster use the identical copy of object.
000125, Info: Conflict resolved: bindName for the object bindObject under the bind name bindName in the JNDI tree.
000126, Error: All session objects should be serializable to replicate. Check the objects in your session. Failed to replicate non-serializable object.
000127, Info: Adding name to the cluster.
000128, Info: Updating name in the cluster.
000129, Info: Removing name from the cluster.
000131, Error: An error occurred in the JNDI Naming Event Listener while de-serializing messages:Message. Exception was:t.
000132, Emergency: Invalid multicast port for cluster: listenPort. Set the MulticastPort for the cluster or the ListenPort for the server with a valid number (e.g. 1 - 65534).
000133, Notice: Waiting to synchronize with other running members of clusterName.
000134, Notice: Discovered and synchronized with reporting other running members of clusterName.
000135, Warning: Cluster.MemberWarmupTimeoutSeconds was reached before this server was able to synchronize with all discovered servers in clusterName. missing/total servers failed to synchronize. This may indicate multicast packet loss or that servers have failed.
000136, Warning: Discovered but failed to synchronize with server.
000137, Error: Error sending multicast message: msg.
000138, Notice: Listening for announcements from cluster name on address:port.
000139, Error: There are two clusters in the network that are possibly running different versions of WebLogic Server. These two clusters probably have the same name name and they are using the same address address and port port.
000140, Error: Failed to deserialize statedump from server serverName with e.
000141, Error: TCP/IP socket failure occurred while fetching statedump over HTTP from serverName.
000142, Notice: Trying to download cluster JNDI tree from server serverName.
000143, Notice: Trying to download JNDI tree from a server listening on serverAddress.
000144, Info: Managed server serverName has been suspended or shutdown.
000145, Error: Managed server serverName is tagged as a migratable server. A cluster that has migratable servers should configure a JDBC DataSource to ensure that the migratable server is highly available.
000146, Error: In the cluster dsName, JDBCDataSource clusterName cannot be reached by all the nodes in the cluster.
000147, Warning: Server "name" failed to renew lease in the leaseTableOwner.
